ID,Value,Index,Flags,EnumID
4190,Server Only,59,0,277
4191,No Collision,60,0,277
4192,Player Can Heal/Buff,61,0,277
4193,No Skill Gains,62,0,277
4194,No Pet Bar,63,0,277
4195,No Damage History,64,0,277
4196,Don't PvP Enable Owner,65,0,277
4197,Don't Fade In,66,0,277
4198,Non-Unique In Combat Log,67,0,277
4199,Skin With Engineering,68,0,277
4200,No Aggro On Leash,69,0,277
4201,No Friendly Area Auras,70,0,277
4202,Extended Corpse Duration,71,0,277
4203,Can't Swim,72,0,277
4204,Tameable (Exotic),73,0,277
4205,"Gigantic (AOI): Caution, Expensive",74,0,277
4206,"Infinite (AOI): Caution, Expensive",75,0,277
4207,Cannot Penetrate Water,76,0,277
4208,No Name Plate,77,0,277
4209,"Checks Liquids: Caution, Expensive",78,0,277
4210,No Threat Feedback,79,0,277
4211,Use Model Collision Size (TALK TO A PROGRAMMER FIRST),80,0,277
4212,Attacker Ignores Facing,81,0,277
4213,Allow Interaction While in Combat,82,0,277
4214,Spell Click for Party Only,83,0,277
4215,Faction Leader,84,0,277
4216,Immune to Player Buffs,85,0,277
4217,Collide With Missiles,86,0,277
4218,Do Not Tap (Credit to threat list),87,0,277
4219,"Disable Dodge, Parry and Block Animations",88,0,277
4220,Cannot Turn,89,0,277
4221,Enemy Check Ignores Line of Sight,90,0,277
4222,Forever Corpse Duration (7 days),91,0,277
4223,Pets attack with 3d pathing (Kologarn),92,0,277
4224,LinkAll flag (TALK TO A PROGRAMMER FIRST),93,0,277
4225,AI Can Auto Takeoff in Combat,94,0,277
4226,AI Can Auto Land in Combat,95,0,277
4227,No Birth Anim,96,0,277
4228,Treat as Player for Diminishing Returns,97,0,277
4229,Treat as Player for PvP Debuff Duration,98,0,277
4230,Only Display Gossip for Summoner,99,0,277
4231,No Death Scream,100,0,277
4232,Can be Healed by Enemies,101,0,277
4233,Deals triple damage to PC controlled pets,102,0,277
4234,No NPC damage below 85%,103,0,277
4235,Obeys Taunt Diminishing Returns,104,0,277
4236,No Melee (Approach),105,0,277
4237,Update Creature Record when instance changes difficulty,106,0,277
4238,Cannot Daze (Combat Stun),107,0,277
4239,Flat Honor Award,108,0,277
4240,Other objects can ignore line of sight requirements when casting spells on me,109,0,277
4241,Give quest kill credit while offline,110,0,277
4242,Treat as Raid Unit For Helpful Spells (Instances ONLY),111,0,277
4243,Don't reposition because melee target is too close,112,0,277
4244,Pet/Guardian AI Don't Go Behind Target,113,0,277
4245,5 Minute loot roll timer,114,0,277
4246,Force Gossip,115,0,277
4247,Don't reposition with friends in combat,116,0,277
4248,Manual Sheathing control,117,0,277
4249,Attacker Ignores Minimum Ranges,118,0,277
4250,Suppress Instance Wide Release in Combat,119,0,277
4251,AI will only swim if target swims,120,0,277
4252,Don't generate combat log when engaged with NPC's,121,0,277
4253,Allow NPC Combat while Uninteractible,122,0,277
4254,Prefer NPCs When Searching For Enemies,123,0,277
4255,Only Generate Initial Threat,124,0,277
4256,Doesn't change target on right click,125,0,277
4257,Hide name in world frame,126,0,277
4258,Quest Boss,127,0,277
4259,Untargetable By Client,128,0,277
4260,Force Self Mounting,129,0,277
4261,Uninteractible If Hostile,130,0,277
4262,Disables XP Award,131,0,277
4263,Disable AI prediction,132,0,277
4264,No LeaveCombat State Restore,133,0,277
4265,Bypass Interact Interrupts,134,0,277
4266,240 Degree Back Arc,135,0,277
4267,Interact while Hostile,136,0,277
4268,Don't Dismiss On Flying Mount,137,0,277
4269,Predictive Power Regen,138,0,277
4270,Hide Level Info In Tooltip,139,0,277
4271,Hide Health Bar Under Tooltip,140,0,277
4272,Suppress highlight when targeted or moused over,141,0,277
4273,AI Prefer pathable targets,142,0,277
4274,Frequent Area Trigger Checks  (EXPENSIVE/TALK TO A PROGRAMMER FIRST),143,0,277
4275,Assign Kill Credit to Encounter List,144,0,277
4276,Never Evade,145,0,277
4277,AI Can't path on Steep Slopes,146,0,277
4278,AI Ignore Los To Melee Target,147,0,277
4279,Never display emote or chat text in a chat bubble,148,0,277
4280,AI Pets close in on unpathable target,149,0,277
4281,Pet/Guardian AI Don't Go Behind Me (use on target),150,0,277
4282,No Death Thud,151,0,277
4283,Client Local Creature,152,0,277
4284,Can drop loot while in a challenge mode instance,153,0,277
4285,Has Safe Location,154,0,277
4286,No Health Regen,155,0,277
4287,No Power Regen,156,0,277
4288,No Pet Unit Frame,157,0,277
4289,No Interact On Left Click,158,0,277
4290,Give criteria kill credit when charmed,159,0,277
4291,Do not auto-resummon this companion creature,160,0,277
4292,Smooth Phasing: Replace visible unit if available (ASK PROGRAMMER FIRST),161,0,277
4293,Ignore the realm coalescing hiding code (always show),162,0,277
4294,Taps to Faction,163,0,277
4295,Only QuestGiver for Summoner,164,0,277
4296,AI Combat Return Precise,165,0,277
4297,Home realm only loot,166,0,277
4298,No Interact Response,167,0,277
4299,No Initial Power,168,0,277
4300,Don't Cancel Channel On Master Mounting,169,0,277
4301,Can Toggle between Death and Personal Loot,170,0,277
4302,"Always, ALWAYS tries to stand right on top of his move to target. ALWAYS!!",171,0,277
4303,Unconscious on Death,172,0,277
4304,Don't report to local defense channel on death,173,0,277
4305,Prefer unengaged monsters when picking a target,174,0,277
4306,Use PVP power and resilience when players attack this creature,175,0,277
4307,Don't clear debuffs on leave combat,176,0,277
4308,Personal loot has full security (guaranteed push/mail delivery),177,0,277
4309,Triple Spell Visuals,178,0,277
4310,Use Garrison Owner Level,179,0,277
4311,Immediate AOI Update On Spawn,180,0,277
4312,UI Can Get Position,181,0,277
4313,Seamless Transfer Prohibited,182,0,277
4314,Always use Group Loot Method,183,0,277
4315,No Boss Kill Banner,184,0,277
4316,Force Triggering Player Loot Only,185,0,277
4317,Show Boss Frame While Uninteractable,186,0,277
4318,Scales to Player Level,187,0,277
4319,AI don't leave melee for ranged when target gets rooted,188,0,277
4320,Don't Use Combat Reach For Chaining,189,0,277
4321,Allow Follower Delete,3,0,267
4398,Disable Positional Low-Pass Filter,0,0,207
4399,Quester Must Not Die,0,0,282
4400,Start Event Must Complete,1,0,282
4401,Quest Completion Area Trigger,2,4,282
4402,Pushable,3,0,282
4403,Quest Has Condition,4,12,282
4404,Hide Reward POI,5,0,282
4405,Raid Group,6,0,282
4407,No Money for XP,8,4,282
4408,Hide Reward,9,4,282
4409,Tracking Event (Not a Quest),10,0,282
4410,Deprecate Reputation,11,4,282
4411,Daily Quest,12,4,282
4412,Quest flags PVP,13,4,282
4413,Deprecated,14,8,282
4414,Weekly Quest,15,4,282
4415,Auto Complete,16,0,282
4416,Display Item In Tracker,17,0,282
4417,Disable Completion Text,18,4,282
4418,Auto Accept,19,0,282
4419,Accept Spell Player Cast,20,4,282
4420,Complete Spell Player Cast,21,4,282
4421,Update Phase Shift,22,0,282
4422,Scroll of Resurrection Whitelist,23,0,282
4423,Gossip on Quest Completion - Force Gossip,24,4,282
4424,Remove Extra Get Items,25,0,282
4425,Well-Known,26,0,282
4426,Portrait from Log,27,0,282
4427,Show Item When Completed,28,4,282
4428,Gossip on Quest Accept - Force Gossip,29,4,282
4429,Items Glow When Done,30,0,282
4430,Fail on Logout,31,0,282
4431,Keep Additional Items,32,0,282
4432,Gossip on Quest Completion - Suppress Gossip,33,4,282
4433,Gossip on Quest Accept - Suppress Gossip,34,4,282
4434,Disallow Player as Questgiver (advanced),35,0,282
4435,Choice Reward Filter - Matches Class,36,4,282
4436,Choice Reward Filter - Matches Spec,37,4,282
4437,Remove from Log on Periodic Reset,38,0,282
4438,Account-Level Quest,39,0,282
4439,Legendary Quest,40,8,282
4440,No Guild XP,41,0,282
4441,Reset Cache on Accept (internal),42,0,282
4442,No Abandon Once Any Objective Complete,43,0,282
4443,Recast accept spell on login,44,0,282
4444,Update Zone Auras,45,0,282
4445,No Credit for Proxy Creatures,46,0,282
4446,Display As Daily Quest,47,0,282
4448,Quest for Internal Builds ONLY,49,0,282
4449,Suppress spell learn text line (for followers),50,0,282
4450,Display Header as Objective for Tasks,51,0,282
4451,Garrison non-owners allowed,52,0,282
4452,Remove quest on weekly reset,53,0,282
4453,Suppress farewell audio after quest accept,54,0,282
4454,Rewards bypass weekly caps and Season Total,55,0,282
4459,Default filter state: Enabled,0,0,284
4460,Default filter state: Disabled,1,0,284
4461,Hidden in Flags Editor,2,0,284
4462,Hidden in Flag Filter,3,0,284
4465,Don't dismiss when an encounter is aborted,31,0,197
4466,Don't report loot log to party/raid,82,0,151
4471,Use Cast Anim for Impact/Release Timing,1,0,247
4474,Character Upgrade (Legion),4,0,150
4479,Use Caster Position as Vis Center (for model linking) (PROGRAMMER ONLY),31,0,205
4480,Show Bloodspurt on Impact,14,0,247
4481,Character Upgrade (100),11,0,143
4482,Ignore Trial Expansion,12,0,122
4501,Full day Skybox,0,0,291
4502,Combine Procedural And Skybox,1,0,291
4503,Procedural Fog Color Blend,2,0,291
4504,Force Sun-shafts,3,0,291
4505,Movement,0,0,292
4506,Dmg Pushback(Player),1,0,292
4507,Stun,2,0,292
4508,Combat,3,0,292
4509,Dmg Cancels(Player),4,0,292
4510,Melee Combat,5,0,292
4511,Immunity,6,0,292
4512,Damage Absorb,7,0,292
4513,Zero Damage Cancels,8,0,292
4514,Damage Pushback,9,0,292
4515,Damage Cancels,10,0,292
4516,Legion,6,0,156
4517,7.0 Box Level,12,0,143
4518,Gold Power 1,1,0,293
4519,Gold Power 2,2,0,293
4520,Gold Power 3,3,0,293
4521,Bronze Power 01,4,0,293
4522,Bronze Power 02,5,0,293
4523,Bronze Power 03,6,0,293
4524,Bronze Power 04,7,0,293
4525,Bronze Power 05,8,0,293
4526,Bronze Power 06,9,0,293
4527,Bronze Power 07,10,0,293
4528,Bronze Power 08,11,0,293
4529,Bronze Power 09,12,0,293
4530,Multiple Impact Events,22,0,247
4531,Left,0,0,294
4532,Right,1,0,294
4533,Has Origin Object,1,0,295
4534,Is Origin Entry,1,0,296
4535,None,0,0,295
4536,None,0,0,296
4537,Recursive (Apply to sub-folders),0,0,297
4538,Ignore speed limit (USE WITH CAUTION),5,0,200
4539,Not Purchased,13,0,122
4540,Use Flex Luck,0,0,298
4541,Disable Raid Icons,20,0,220
4543,Blacklisted,1,0,299
4544,Encrypted,2,0,299
4545,Dark Data,4,0,299
4551,Racial for the purpose of temporary race change,15,0,195
4552,Unclamped Point Lights,37,0,192
4553,Expansion,0,0,303
4555,Disabled,0,0,304
4556,Differentiate Browser,14,0,2
4557,"Is a ""Talking Head"" conversation",0,0,305
4558,Forward,0,0,306
4559,Backward,1,0,306
4560,Strafe Left,2,0,306
4561,Strafe Right,3,0,306
4562,Left,4,0,306
4563,Right,5,0,306
4564,Pitch Up,6,0,306
4565,Pitch Down,7,0,306
4566,Walk,8,0,306
4567,Ignore Gravity,9,0,306
4568,Rooted,10,0,306
4569,Falling,11,0,306
4570,Swimming,20,0,306
4571,Show in Spellbook,8,0,105
4586,Always Allow Dual Wield,83,0,151
4587,Force Sheathed,23,0,266
4588,Force Unsheathed,24,0,266
4589,Auto,0,0,313
4590,Zone Choice,1,0,313
4686,Is a World Quest,56,12,282
4688,Hack for Legion Standard to Collector's Upgrade,13,0,143
4689,Quest Offer,2,0,313
4690,Cross Realm,0,0,318
4691,Share LFG object with other dungeons,1,0,318
4692,Holiday,2,0,318
4693,Deliver this record's reward no matter how you queue,3,0,318
4694,Weekly,4,0,318
4695,Ignore Raid Lock,5,0,318
4696,Scaling Dungeon,6,0,318
4697,Auto switch spec to enforce role,7,0,318
4698,Display this dungeon in character level up notifications,8,0,318
4699,Deliver the random reward when queued for random,9,0,318
4700,Only server initiated queue,10,0,318
4701,Do not allow user teleport,11,0,318
4702,Requires a premade group,12,0,318
4703,Force this Reward,13,0,318
4704,Use Loot Method: Personal,14,0,318
4705,Hide if requirements not met,15,0,318
4706,Multifaction,16,0,318
4707,Allow empty teams,17,0,318
4708,Skip proposal,18,0,318
4709,Frequently Used,0,0,319
4710,World Space Lock Position,0,0,320
4711,World Space Lock Rotation,1,0,320
4712,World Space Lock Scale,2,0,320
4713,Ignore Scaling from Rotation Matrix,3,0,320
4714,Prefer Mount Model,4,0,320
4715,Attachment Relative Lock Position,5,0,320
4716,Attachment Relative Lock Rotation,6,0,320
4717,Attachment Relative Lock Scale,7,0,320
4718,Position,0,0,321
4719,Rotation,1,0,321
4720,Scale,2,0,321
4721,Simple Attach,0,0,322
4722,Blend,1,0,322
4723,Blend Over Time,2,0,322
4724,Offset Towards Dest,3,0,322
4725,Attach to XY Bounds Center,4,0,322
4726,Use Position Style,0,0,323
4727,Simple Attach Rotation,1,0,323
4728,Blend,2,0,323
4729,Blend Over Time,3,0,323
4730,World Space Yaw & Pitch,4,0,323
4731,NOT IMPLEMENTED: X Oriented Billboard,5,0,323
4732,NOT IMPLEMENTED: Y Oriented Billboard,6,0,323
4733,NOT IMPLEMENTED: Z Oriented Billboard,7,0,323
4734,NOT IMPLEMENTED: Upright Billboard,8,0,323
4735,NOT IMPLEMENTED: Camera Billboard,9,0,323
4736,Face From Source To Dest,10,0,323
4737,NOT IMPLEMENTED: Screen Space Projection Attach,11,0,323
4738,Yaw Only (Upright),12,0,323
4739,Use Rotation Style,0,0,324
4740,Use Position Style,1,0,324
4741,Simple Attach Scale,2,0,324
4742,Blend,3,0,324
4743,Constant,5,0,324
4744,NOT IMPLEMENTED: Object Scale,6,0,324
4745,NOT IMPLEMENTED: Object Height,7,0,324
4746,Blend Over Time,4,0,324
4747,World Effect Auto Scale,8,0,324
4748,NOT IMPLEMENTED: Nameplate Scale,9,0,324
4749,NOT IMPLEMENTED: Distance Between Src & Dest,10,0,324
4750,Impact Effect Scale,11,0,324
4751,Self Attachment,0,0,325
4752,Other Attachment,1,0,325
4753,Code-Driven Orientation,2,0,325
4754,Positioner,3,0,325
4755,Respond to call for help,0,0,326
4756,Broadcast to enemies (low priority),1,0,326
4757,Broadcast to enemies (med priority),2,0,326
4758,Broadcast to enemies (high priority),3,0,326
4759,Search for enemies (low priority),4,0,326
4760,Search for enemies (med priority),5,0,326
4761,Search for enemies (high priority),6,0,326
4762,Search for friends (low priority),7,0,326
4763,Search for friends (med priority),8,0,326
4764,Search for friends (high priority),9,0,326
4765,Flee from call for help,10,0,326
4766,Assist players,11,0,326
4767,Attack PvP active players,12,0,326
4768,Hates all except friends,13,0,326
4769,Stop Regen While Casting,0,0,327
4770,Use Regen Interrupt,1,0,327
4771,Clear Fractional Power on Leave Combat,2,0,327
4772,Fill Fractional Power on Energize,3,0,327
4773,No Client Prediction,4,0,327
4774,Units Use Default Power on Init,5,0,327
4775,Not Set to Default on Resurrect,6,0,327
4776,Is Used by NPCs,7,0,327
4777,Cost Hidden on Tooltip,8,0,327
4778,Continue Regen While Fatigued,9,0,327
4779,Regen Affected by Haste,10,0,327
4780,Set to Default After Regen Interrupt,11,0,327
4781,Mana,0,0,328
4782,Rage,1,0,328
4783,Focus,2,0,328
4784,Energy,3,0,328
4785,Happiness,4,0,328
4786,Runes,5,0,328
4787,Runic Power,6,0,328
4788,Soul Shards,7,0,328
4789,Lunar Power,8,0,328
4790,Holy Power,9,0,328
4791,Alternate,10,0,328
4792,Maelstrom,11,0,328
4793,Chi,12,0,328
4794,Insanity,13,0,328
4795,Arcane Charges,16,0,328
4796,Fury,17,0,328
4797,Pain,18,0,328
4801,Light,0,0,330
4802,Medium,1,0,330
4803,Heavy,2,0,330
4804,Weapon Can Parry,0,0,331
4805,Weapon Set Finger Sequence (unused),1,0,331
4806,Weapon Is Unarmed (unused),2,0,331
4807,Weapon Is Rifle (unused),3,0,331
4808,Weapon Is Thrown (unused),4,0,331
4809,Weapon Is Right Hand Ranged (unused),5,0,331
4810,Quiver Not Required (unused),6,0,331
4811,Ranged (unused),7,0,331
4812,Ranged No Attack Power (unused),8,0,331
4813,Uses Inv Type,9,0,331
4814,Hide SubClass In Tooltips,0,0,332
4815,Hide SubClass In Auction,1,0,332
4816,Show Item Count,2,0,332
4821,Auto,0,0,334
4822,Large,1,0,334
4823,Gigantic,2,0,334
4825,Apply Creature's Attached Effect Scale,8,0,320
4826,Old Loot Effect Scale,12,0,324
4832,NonEquip,0,0,336
4833,Head,1,0,336
4834,Neck,2,0,336
4835,Shoulder,3,0,336
4836,Body,4,0,336
4837,Chest,5,0,336
4838,Waist,6,0,336
4839,Legs,7,0,336
4840,Feet,8,0,336
4841,Wrist,9,0,336
4842,Hand,10,0,336
4843,Finger,11,0,336
4844,Trinket,12,0,336
4845,Weapon,13,0,336
4846,Shield,14,0,336
4847,Ranged,15,0,336
4848,Cloak,16,0,336
4849,2 Hand,17,0,336
4850,Bag,18,0,336
4851,Tabard,19,0,336
4852,Robe,20,0,336
4853,Main Hand Weapon,21,0,336
4854,Off-Hand Weapon,22,0,336
4855,Holdable,23,0,336
4856,Ammo,24,0,336
4857,Thrown,25,0,336
4858,RangedRight,26,0,336
4859,Quiver,27,0,336
4860,Relic,28,0,336
4861,Flag Bits,0,0,337
4862,Enumeration,2,0,337
4867,Maintain Initial Facing,25,0,266
4868,Male,0,0,338
4869,Female,1,0,338
4870,Large Projection Height (Expensive),0,0,339
4871,Force Selectable,1,0,339
4872,Force Unselectable,2,0,339
4873,Use Parent Unit's Texture,3,0,339
4874,Use Race/Gender Alternates,4,0,339
4875,Project textures only on horizontal surfaces,5,0,339
4877,Sort Far Z,7,0,339
4884,Absolute Lifetime,1,0,319
4885,No Facing Control,0,0,342
4886,Fall Damage,1,0,342
4892,Speed is absolute,3,0,342
4903,Apply Creature's World Effect Scale,9,0,320
4904,Do Not Clamp Scale,10,0,320
4905,Use Model Center,0,0,343
4906,Zone Inset,3,0,313
4911,World Size (Length/Width),13,0,324
4912,Match Size,14,0,324
4913,Don't go underground,4,0,342
4925,Silence,0,0,345
4926,Pacify,1,0,345
4927,No Actions,2,0,345
4928,Use Loincloth,0,0,346
4929,Player Class,1,0,346
4930,Display Pet,2,0,346
4931,Can Wear Scaling-Stat Mail,4,0,346
4932,Can Wear Scaling-Stat Plate,5,0,346
4933,Bind Starting Area,6,0,346
4934,Pet Bar Initially Hidden,7,0,346
4935,Send Stable at Login,8,0,346
4936,Monk-Style Unarmed,9,0,346
4937,Requires Stance,10,0,346
4938,Only Triggered By Caster,0,0,347
4939,Resurrect If Condition Fails,1,0,347
4940,Obsolete,2,4,347
4941,Allow While Ghost,3,0,347
4942,Allow While Dead,4,0,347
4943,Unify All Instances,5,0,347
4944,Suppress Condition Error (NYI),6,0,347
4945,Not Triggered by Caster,7,0,347
4946,Creator's party only,8,0,347
4947,Don't run OnLeave when expiring,9,0,347
4948,Can affect Uninteractible,10,0,347
4949,Don't despawn with creator,11,0,347
4950,Can affect Beastmaster,12,0,347
4951,Requires Line of Sight,13,0,347
4953,Mod Weapon Damage,0,0,349
4954,Fill Perimeter,0,0,350
4955,Orient Normals,1,0,350
4956,Ignore Speed Limit,5,0,342
4957,Soulbound,0,0,351
4958,Do not log,1,0,351
4959,Mainhand Only,2,0,351
4960,Allow Entering Arena,3,0,351
4961,Do Not Save To DB,4,0,351
4962,Scale As A Gem,5,0,351
4963,Disable In Challenge Modes,6,0,351
4964,Disable in Proving Grounds,7,0,351
4965,Allow Transmog,8,0,351
4966,Update Fall Speed After Aura Removal,447,0,134
4967,Use Challenge Mode Display (deprecated),0,0,352
4968,Suppress Scenario Stage Number Text,1,0,352
4969,Use Proving Grounds Display (deprecated),2,0,352
4970,Use Dungeon Display (deprecated),3,0,352
4971,Default,0,0,353
4972,Challenge Mode,1,0,353
4973,Proving Grounds,2,0,353
4974,Dungeon Display,3,0,353
4975,Legion Invasion,4,0,353
4976,Hide If Not Learned,1,0,260
4977,Spectral Vision: Hostile,17,0,176
4978,Face move direction (if attached),0,0,354
4979,Absolute Orientation,1,0,354
4980,Despawn on creator death,2,0,354
4981,"Use model bounds, instead of center, for NPC trigger detection",3,0,354
4982,Collide with environment (when moving to implicit target only),4,0,354
4983,Follow terrain (when moving to/around implicit targets only) *expensive*,5,0,354
4984,Upgrade creature movement frequency (if attached) *expensive*,6,0,354
4985,Stop moving on arrival to destination,7,0,354
4986,Use larger bounds for Player trigger detection,8,0,354
4987,Rotate to Morph,9,4,354
4988,Use Gigantic AOI *Instances Only Please*,10,0,354
4989,Always Exterior *Advanced: Use only for triggers that are exterior world only*,11,0,354
4990,Counter clockwise circular path,12,4,354
4991,Looping Movement,13,0,354
4994,PVP,38,0,192
4995,No Depth Fade,0,0,355
4996,Object Fill,1,0,355
4997,Ignore Depth,2,0,355
4998,Flat,0,0,356
4999,Sin,1,0,356
5000,Noise,2,0,356
5001,Spectral Vision: Target,18,0,176
5002,None,0,0,357
5003,Exertion,1,0,357
5004,Exertion - Critical,2,0,357
5005,Injury,3,0,357
5006,Injury - Critical,4,0,357
5007,Stun,5,0,357
5008,Stand,6,0,357
5009,Wing Flap,7,0,357
5010,Alert,8,0,357
5011,Injury - Crushing Blow,9,12,357
5012,Wing Glide,10,0,357
5013,Jump Start,11,0,357
5014,Jump End,12,0,357
5015,Injury - Falling,13,12,357
5016,Death,14,0,357
5017,Faction Balance,19,0,318
5018,Aggro,15,0,357
5019,Footstep,16,0,357
5020,Fidget - Random,17,0,357
5021,Fidget 1,18,0,357
5022,Fidget 2,19,0,357
5023,Fidget 3,20,0,357
5024,Fidget 4,21,0,357
5025,Fidget Periodic,22,0,357
5027,Custom Attack - Random,23,0,357
5028,Custom Attack 0,24,0,357
5029,Custom Attack 1,25,0,357
5030,Custom Attack 2,26,0,357
5031,Custom Attack 3,27,0,357
5032,Pet Attack,28,0,357
5033,Pet Order,29,0,357
5034,Pet Dismiss,30,0,357
5035,Birth,31,0,357
5036,Spell Cast Directed,32,0,357
5037,Submerge,33,0,357
5039,Windup - Melee,34,0,357
5040,Windup - Caster,35,0,357
5041,Charge,36,0,357
5042,Charge - Critical,37,0,357
5043,Battle Shout,38,0,357
5044,Battle Shout - Critical,39,0,357
5045,Taunt,40,0,357
5046,Is Endgame Power,2,0,258
5047,Play Weapon Swoosh,23,0,247
5048,Agile,3,0,330
5049,Pierce,4,0,330
5050,Is Pierce Anim,2,0,265
5051,Camera,4,0,325
5052,Mirror Model When Sheathed (Warglaives),11,0,169
5053,Flip Model When Sheathed,12,0,169
5055,Default,0,0,358
5056,Weapon Trail Top ($WTT),1,0,358
5057,Weapon Trail Bottom ($WTB),2,0,358
5058,Hand,3,0,358
5059,Elbow,4,0,358
5060,Weapon 0 (_WPN0),5,0,358
5061,Weapon 1 (_WPN1),6,0,358
5062,Weapon 2 (_WPN2),7,0,358
5063,Weapon 3 (_WPN3),8,0,358
5064,Weapon 4 (_WPN4),9,0,358
5065,Model Weapon Right Top ($WRT),10,0,358
5066,Model Weapon Right Bot ($WRB),11,0,358
5067,Model Weapon Left Top ($WLT),12,0,358
5068,Model Weapon Left Bot ($WLB),13,0,358
5069,Allow Unarmed,0,0,359
5071,Linear Motion,1,0,359
5072,Int > Agi > Str,0,0,360
5073,Int > Str > Agi,1,0,360
5074,Agi > Int > Str,2,0,360
5075,Agi > Str > Int,3,0,360
5076,Str > Int > Agi,4,0,360
5077,Str > Agi > Int,5,0,360
5078,Record Combo Box (with -NONE-),6,0,269
5079,Record Combo Box (without -NONE-),7,0,269
5080,Auto Summon Party,20,0,318
5081,Allow same faction,21,0,318
5082,Project X,0,0,361
5086,Tank,0,0,362
5087,Healer,1,0,362
5088,DPS,2,0,362
5089,- NONE -,-1,0,362
5090,Display Off-hand in Front,0,0,363
5091,Hide Off-hand at Forge,1,0,363
5093,Apply value linearly (versus smoothstep),0,0,364
5094,Unshaded,1,0,364
5096,Is Metal ,0,0,365
5097,Is Plate ,1,0,365
5098,Is Chain ,2,0,365
5100,No Exp,0,0,366
5101,Trivial,1,0,366
5102,Very Small,2,0,366
5103,Small,3,0,366
5104,Substandard,4,0,366
5105,Standard,5,0,366
5106,High,6,0,366
5107,Epic,7,0,366
5108,Dungeon,8,0,366
5109,5,9,0,366
5110,Light,0,0,367
5111,Medium,1,0,367
5112,Heavy,2,0,367
5113,Agile,3,0,367
5114,Pierce,4,0,367
5115,Large Monster,5,0,367
5116,Not Crit,0,0,368
5117,Crit,1,0,368
5120,Hexadecimal Byte Array,8,0,269
5121,Add to Action Bar on Learn,9,0,105
5122,Hardcoded: Item Level Delta (DO NOT USE),3,4,193
5124,Server controlled backfill,22,0,318
5125,Spectral Vision: Treasure,19,0,176
5132,Smooth Facing (Unit/Player look Yaw),13,0,323
5134,Error,0,0,371
5135,Warning,1,0,371
5136,Info,2,0,371
5137,Unknown,0,0,372
5138,Dungeon Journal Encounter,1,0,372
5139,Quest,2,0,372
5140,Vendor,3,0,372
5141,World Drop,4,0,372
5142,Horde,0,0,373
5143,Alliance,1,0,373
5144,Prepass,2,0,364
5145,Treat First Texture as Alpha (Shell Instead of Dissolve),3,0,364
5146,Fade Shadow,4,0,364
5147,Duration is Delay From Impact,1,0,276
5148,Obliteratable,84,4,151
5151,PvP Bracket Rating (Specific),15,0,165
5152,-- NONE --,0,0,374
5153,Shoulder,1,0,374
5154,Inverted,2,0,374
5155,Hip,3,0,374
5156,Shield,4,0,374
5157,Crossbow,5,0,374
5158,Prevent Jumping During Precast,448,12,134
5159,Wood,0,0,375
5160,Metal,1,0,375
5161,Seamless Entrance Queue,23,0,318
5162,5,5,0,141
5163,6,6,0,141
5164,7,7,0,141
5165,8,8,0,141
5166,9,9,0,141
5167,10,10,0,141
5168,Normal,0,0,376
5169,Player Override,1,0,376
5170,Do not play procedural wound anim,190,0,277
5171,Apply procedural wound anim to Base,191,0,277
5173,Acts as Transmog Hidden Visual Option,85,4,151
5174,Commentator Team 1,20,0,176
5175,Commentator Team 2,21,0,176
5176,Player Self Highlight,22,0,176
5177,Shield,0,0,377
5178,Item Hand Right,1,0,377
5179,Item Hand Left,2,0,377
5180,Elbow Right,3,0,377
5181,Elbow Left,4,0,377
5182,Shoulder Right,5,0,377
5183,Shoulder Left,6,0,377
5184,Knee Right,7,0,377
5185,Knee Left,8,0,377
5186,Hip Right,9,0,377
5187,Hip Left,10,0,377
5188,Helm,11,0,377
5189,Back,12,0,377
5190,Shoulder Flap Right,13,0,377
5191,Shoulder Flap Left,14,0,377
5192,Chest Blood Front,15,0,377
5193,Chest Blood Back,16,0,377
5194,Breath,17,0,377
5195,Player Name,18,0,377
5196,Base,19,0,377
5197,Head,20,0,377
5198,Spell Hand Left,21,0,377
5199,Spell Hand Right,22,0,377
5200,Special 1,23,0,377
5201,Special 2,24,0,377
5202,Special 3,25,0,377
5203,Sheathe Main Hand,26,0,377
5204,Sheathe Off Hand,27,0,377
5205,Sheathe Shield,28,0,377
5206,Player Name Mounted,29,0,377
5207,Large Weapon Left,30,0,377
5208,Large Weapon Right,31,0,377
5209,Hip Weapon Left,32,0,377
5210,Hip Weapon Right,33,0,377
5211,Chest,34,0,377
5212,Hand Arrow,35,0,377
5213,Bullet,36,0,377
5214,Spell Hand Omni,37,0,377
5215,Spell Hand Directed,38,0,377
5216,Vehicle Seat 1,39,0,377
5217,Vehicle Seat 2,40,0,377
5218,Vehicle Seat 3,41,0,377
5219,Vehicle Seat 4,42,0,377
5220,Vehicle Seat 5,43,0,377
5221,Vehicle Seat 6,44,0,377
5222,Vehicle Seat 7,45,0,377
5223,Vehicle Seat 8,46,0,377
5224,Left Foot,47,0,377
5225,Right Foot,48,0,377
5226,Shield No Glove,49,0,377
5227,Spine Low,50,0,377
5228,Altered Shoulder R,51,0,377
5229,Altered Shoulder L,52,0,377
5230,Belt Buckle,53,0,377
5231,Sheathe Crossbow,54,0,377
5232,- NONE -,-1,0,377
5234,Disabled Prestige Level,0,0,379
5236,Expire On Weekly Reset,86,0,151
5237,Caster only,1,0,206
5238,Bronze Power 10,13,0,293
5240,Description,1,0,380
